"Account Owner","Account Name","Billing State/Province","Type","Billing Street","Billing City","Billing Country","Billing Zip/Postal Code","SE Owner","Latitude","Longitude"
"Leslie Johnson","Acme Corp","CA","Customer","2178 George St","San Francisco","USA","34618","Chris Kim","37.7451","-122.40273"
"Dakota Shah","Granite Labs","CA","Customer","1043 Commerce St","San Francisco","USA","17955","Leslie Brown","37.74521","-122.3836"
"Chris Carter","Acme Holdings","CA","Customer","2358 Station Rd","San Francisco","USA","62107","Chris Shah","37.7719","-122.39571"
"Hayden Cruz","Nimbus Systems","CA","Prospect","331 Church St","San Francisco","USA","83835","Robin Kim","37.75981","-122.43546"
"Casey Young","Northstar Networks","CA","Prospect","1537 Peachtree St","San Francisco","USA","75692","Jordan Hall","37.77566","-122.41988"
"Leslie Cruz","Atlas Industries","CA","Customer","2160 Peachtree St","San Francisco","USA","12879","Blake Flores","37.7722","-122.45392"
"Ryan Shah","Ironclad Partners","CA","Customer","648 High St","San Francisco","USA","86690","Jordan Ellis","37.74969","-122.45171"
"Robin Flores","Metro Systems","CA","Prospect","165 Main St","San Francisco","USA","48249","Alex Shah","37.74686","-122.38718"
"Casey Shah","Pulse Systems","CA","Customer","2205 Commerce St","San Francisco","USA","41698","Robin Brown","37.80469","-122.41459"
"Taylor Kim","Ironclad Systems","CA","Customer","493 King St","Los Angeles","USA","22736","Kendall Hall","34.05609","-118.24146"
"Robin Cruz","Vertex Partners","CA","Prospect","2063 Commerce St","Los Angeles","USA","15462","Kendall Carter","34.07578","-118.20797"
"Drew Foster","Atlas Corp","CA","Customer","2130 Park Ave","Los Angeles","USA","39317","Dakota Hall","34.06969","-118.23884"
"Quinn Brown","Granite Holdings","CA","Prospect","899 George St","Los Angeles","USA","96151","Taylor Ellis","34.07743","-118.22547"
"Chris Park","Cinder Labs","CA","Customer","1426 State St","Los Angeles","USA","87304","Morgan Park","34.0341","-118.23271"
"Dakota Lin","Horizon Group","CA","Prospect","1231 Church St","Los Angeles","USA","90934","Casey Ellis","34.0279","-118.22322"
"Quinn Patel","Sequoia Industries","CA","Prospect","49 Commerce St","Los Angeles","USA","37547","Sam Gomez","34.07512","-118.22773"
"Alex Lin","Bluewave Partners","CA","Customer","104 State St","Los Angeles","USA","90897","Casey Shah","34.04788","-118.21897"
"Dakota Turner","Metro Group","CA","Customer","1309 Grand Ave","Los Angeles","USA","31458","Robin Cruz","34.02809","-118.22534"
"Hayden Brown","Vector Systems","CA","Customer","1565 Commerce St","Los Angeles","USA","21811","Kendall Young","34.0569","-118.27517"
"Kendall Nguyen","Bluewave Corp","CA","Prospect","454 Marina Blvd","Los Angeles","USA","56327","Robin Cruz","34.07332","-118.23448"
"Dakota Shah","Northstar Corp","WA","Prospect","903 Marina Blvd","Seattle","USA","88639","Chris Patel","47.60316","-122.31854"
"Blake Carter","Catalyst Networks","WA","Customer","1866 King St","Seattle","USA","78208","Sam Lee","47.62614","-122.36291"
"Casey Kim","Evergreen Holdings","WA","Customer","1881 Park Ave","Seattle","USA","45717","Morgan Patel","47.62603","-122.31711"
"Morgan Ellis","Beacon Systems","WA","Customer","1124 Church St","Seattle","USA","32979","Taylor Park","47.6003","-122.29212"
"Taylor Johnson","Granite Networks","WA","Customer","866 Park Ave","Seattle","USA","33103","Morgan Shah","47.62961","-122.34738"
"Morgan Foster","Cinder Industries","WA","Customer","878 Marina Blvd","Seattle","USA","11740","Jordan Johnson","47.58035","-122.29756"
"Sam Ellis","Tideway Holdings","WA","Customer","985 Park Ave","Seattle","USA","66097","Sam Brown","47.60567","-122.35369"
"Jordan Young","Delta Holdings","WA","Customer","1461 State St","Seattle","USA","55178","Kendall Brown","47.62817","-122.35191"
"Dakota Cruz","Vector Partners","WA","Prospect","1681 Queen St","Seattle","USA","62398","Jordan Foster","47.63099","-122.30228"
"Taylor Kim","Metro Networks","WA","Prospect","124 Commerce St","Seattle","USA","87229","Hayden Johnson","47.63408","-122.31114"
"Dakota Brown","Pulse Partners","WA","Customer","2132 Peachtree St","Seattle","USA","86172","Jamie Shah","47.60739","-122.32714"
"Chris Young","Atlas Group","WA","Customer","2390 Market St","Seattle","USA","60538","Taylor Flores","47.60945","-122.36525"
"Casey Turner","Harbor Corp","WA","Prospect","1384 Church St","Seattle","USA","20270","Casey Lin","47.61978","-122.35122"
"Blake Kim","Cobalt Group","WA","Customer","445 Market St","Seattle","USA","61259","Hayden Hall","47.59558","-122.305"
"Chris Brown","Ironclad Group","CO","Customer","147 Peachtree St","Denver","USA","93869","Casey Park","39.72813","-104.95571"
"Casey Park","Bluewave Group","CO","Customer","1793 King St","Denver","USA","88407","Hayden Patel","39.75572","-104.96333"
"Blake Hall","Summit Group","CO","Customer","1537 Elizabeth St","Denver","USA","87593","Sam Johnson","39.75281","-105.00168"
"Taylor Carter","Granite Systems","CO","Prospect","208 Park Ave","Denver","USA","60820","Alex Patel","39.74296","-105.02042"
"Leslie Lee","Pulse Industries","CO","Customer","237 Park Ave","Denver","USA","58231","Jamie Lin","39.72403","-104.96482"
"Riley Patel","Pioneer Systems","CO","Prospect","1330 State St","Denver","USA","71402","Jamie Park","39.74992","-105.02234"
"Casey Hall","Orbit Systems","CO","Prospect","584 Church St","Denver","USA","55451","Riley Turner","39.71104","-104.9668"
"Leslie Lee","Lattice Partners","CO","Prospect","961 Grand Ave","Denver","USA","69799","Chris Carter","39.7268","-105.02203"
"Hayden Kim","Apex Partners","CO","Customer","1618 Marina Blvd","Denver","USA","58864","Riley Carter","39.7117","-105.01941"
"Chris Hall","Lumen Corp","CO","Customer","551 Peachtree St","Denver","USA","23023","Robin Patel","39.74068","-105.01745"
"Robin Lee","Cobalt Partners","CO","Prospect","742 High St","Denver","USA","78168","Taylor Ellis","39.71099","-105.00426"
"Ryan Nguyen","Granite Labs","CO","Customer","1339 High St","Denver","USA","10015","Robin Hall","39.75857","-104.95853"
"Dakota Young","Harbor Partners","CO","Prospect","2271 Orchard Rd","Denver","USA","87904","Quinn Hall","39.71096","-104.97974"
"Leslie Lin","Delta Partners","CO","Customer","141 Congress Ave","Denver","USA","71477","Sam Shah","39.75688","-104.95359"
"Morgan Foster","Lattice Industries","AZ","Customer","1651 High St","Phoenix","USA","20596","Jamie Turner","33.45537","-112.05511"
"Taylor Lin","Ironclad Holdings","AZ","Customer","2245 High St","Phoenix","USA","42373","Leslie Foster","33.44991","-112.07439"
"Jamie Johnson","Orbit Industries","AZ","Prospect","20 King St","Phoenix","USA","15206","Sam Turner","33.43534","-112.10877"
"Casey Flores","Sequoia Industries","AZ","Prospect","2023 Marina Blvd","Phoenix","USA","36332","Sam Turner","33.45999","-112.08122"
"Jordan Foster","Harbor Systems","AZ","Customer","577 Station Rd","Phoenix","USA","19183","Quinn Patel","33.42251","-112.04952"
"Taylor Johnson","Evergreen Holdings","AZ","Customer","2389 King St","Phoenix","USA","63946","Dakota Nguyen","33.45066","-112.10199"
"Leslie Ellis","Pulse Corp","AZ","Prospect","1908 Congress Ave","Phoenix","USA","12963","Morgan Young","33.46062","-112.04712"
"Riley Cruz","Catalyst Labs","AZ","Customer","156 Congress Ave","Phoenix","USA","83382","Taylor Hall","33.43309","-112.08263"
"Blake Brown","Cobalt Networks","AZ","Customer","206 Park Ave","Phoenix","USA","56828","Leslie Ellis","33.44457","-112.08367"
"Drew Hall","Harbor Corp","AZ","Customer","1395 Market St","Phoenix","USA","35643","Ryan Shah","33.46922","-112.10262"
